,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,税费解析,权属抵押,周边配套,交通出行,小区介绍,房源核验码,查询房管备案记录,户型介绍,适宜人群,装修描述,用水类型,用电类型,别墅类型,燃气价格
924,君宸府115平米毛坯三房二卫次新小区块满两年,238万,20696,天宁区红梅,德信佳源君宸府,3室2厅1厨2卫,低楼层 (共16层),115㎡,平层,暂无数据,板塔结合,南,框架结构,毛坯,暂无数据,暂无数据,暂无数据,2023-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,君宸府三室两厅两卫毛坯全天采光诚意出售,,,,红梅街道 （2路; 11路; 15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路火车站，高铁站,红梅街道 （2路; 11路; 15路; 15路芙蓉线; 29路; 29路高峰; 63路; 209路; 212路; 232路; 1111路火车站，高铁站,小区绿化面积大，楼间距宽，格局分明采光好，小区东靠红星美凯龙，南靠红梅小吃一条街大润发，很繁华热闹,,,,,,,,,
925,精装2室 市民广场旁 三井教育 可领包入住,218万,22387,新北区红梅,中央花园（新北区） ,2室2厅1厨1卫,中楼层 (共33层),97.38㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-10,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,,,
926,翠竹新村北区 4室2厅 南,138万,9879,天宁区红梅,翠竹新村北区,4室2厅1厨2卫,中楼层 (共8层),139.7㎡,平层,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-06-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
927,中 央花园 下楼就是地铁口、市民广场，交通生活方便,400万,25047,新北区红梅,中央花园（新北区） ,4室2厅1厨2卫,高楼层 (共33层),159.7㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-11-27,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,地段好，交通方便，门口公交、地铁、生活市场齐全。,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.6％ 3、个税：产证满五年而且是一套住房，免收个税，",,,,小区地理位置好，出小区就是地铁口、市民广场、奥体中 心，交通、生活、健身、娱乐，都很方便。小区绿化多，物业管理严格，居住舒适。,,,,,装修新，保养得好，配套齐全，房子打扫的干净清爽，拎包就能入住。,,,,
928,小区中间位置！四开间朝南户型！一梯一户！有入户花园,598万,29344,新北区红梅,中央花园（新北区） ,5室2厅1厨2卫,低楼层 (共24层),203.79㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房位于小区中间位置！四开间朝南户型！一梯一户！电梯直达到家,,1：90平以下首套二套1%，三套及以上3%90平以上首套1.5%，二套2%，三套及以上3% 2：个税：全额的1%，满五年套住宅免征 3：不满两年5.3%税，满两年免征 此房满2年，没有增值税，只有个人所得税和契税,,小区出行：门口公交站，地铁1号线文化广场站； 小区娱乐：步行100米到 文化广场，逛街、购物、娱乐方便； 小区健身: 步行150米到奥体，健身项目齐全，随时锻炼。,,位置：小区地理位置佳，绿化多，小区中间有景观湖！居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
929,⭐⭐⭐（好房推荐）新装修 三个房间朝南 户型好地铁口,130万,10834,天宁区红梅,锦绣东苑,3室2厅1厨1卫,低楼层 (共6层),120㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2023-07-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,房子此次新自住装修 三个房产朝南 朝南双阳台，采光好,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%",,,,小区内停车位充足，建有地上停车场和 地下车库、小区内24小时保安巡逻,,,三开间朝南，朝南双阳台，户型通透 精装修 全明户型，位置好，通风透气,,,,,,
930,地铁口 小区中间位置三房交通便利,258万,21427,新北区红梅,中央花园（新北区） ,3室2厅1厨1卫,中楼层 (共17层),120.41㎡,平层,97.87㎡,板塔结合,东南,钢混结构,精装,两梯三户,有,暂无数据,2023-09-13,商品房,2012-08-02,普通住宅,暂无数据,共有,有抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,售房详情： 业主诚意出售，手续齐全，价格公道，看房方便，节省您的时间和精力,税费解析： 存量房需要缴纳个人所得税1%。 契税（看买方名下房屋套数决定费率），若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。 90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%， 若90㎡以上将收取2%。 三套房不论面积大小..,,,,小区地理位置好，绿化好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,,,,
931,采光充足，视野宽阔，配套设施齐全，交通方便,175万,15018,天宁区红梅,聚缘雅居,3室2厅1厨1卫,高楼层 (共26层),116.53㎡,跃层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2021-06-17,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 13万元,未上传房本照片,采光充足，视野宽阔，配套设施齐全，交通方便,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,商场：大润发、红星家具装饰城、金太阳家电北环商场、九龙小商品批发市场、世纪联华，医院：武进医院、人民医院、一0二医院,,小区位于天宁常州天宁区竹林南路71号，属于天宁 红梅，开发商和物业都是江苏武房集团，绿化30%,,,,,,,,,
932,翠竹新村北区 顶楼带阁楼 房子清爽 业主诚心出售,85万,9469,天宁区红梅,翠竹新村北区,3室1厅1厨1卫,高楼层 (共6层),89.77㎡,复式,暂无数据,板楼,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2021-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二年，视野宽阔，采光充足，配套设施齐全。,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,,,,,,,,,,,,
933,新城蓝钻 环境优美 休闲安静 配套齐全 交通便利,120万,10017,天宁区红梅,新城蓝钻苑（东区）,3室2厅1厨1卫,高楼层 (共28层),119.8㎡,复式,暂无数据,板楼,东南,钢混结构,精装,两梯六户,有,暂无数据,2022-10-26,商品房,2022-05-19,普通住宅,未满两年,非共有,有抵押 130万元,已上传房本照片,新城蓝钻 环境优美 休闲安静 配套齐全 交通便利,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,小区门口有公交站台，可乘坐26，13，18，19，27，32，42，11路和B1 B2,由新城房地产开发建造，2008年交付使用，小区环境优美，白天一片葱绿，夜晚一片浓荫，休闲安静，居住舒适又安全，外立面由瓷砖防水材料组成防水性能良好，小区设有儿童娱乐设施和地下停车场,,,,,,,,,
934,好楼层，视野宽阔，采光充足，配套设施齐全,148万,15787,天宁区红梅,惠峰花园,2室2厅1厨1卫,低楼层 (共30层),93.75㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2021-08-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,好楼层，视野宽阔，采光充足，配套设施齐全,,"、 契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,大润发、时代、欧尚医院：红梅医院、青龙医院邮局：中国邮政银行：建行、中行、农行其他：竹林菜场、红梅菜场、红东菜场小区内部配套：惠峰派克公馆地处竹林北路与龙城大道交汇，，稳居东城区域。交通、环境一应俱全。,,天宁竹林北路与龙城大道交汇处西北侧所属区域：天宁 红梅邮 编：213000产权描述：70年物业类别：住宅建筑年代：2012年建成开 发 商：常州武建惠峰置业有限公司建筑结构：钢筋混凝土、砖混建筑类型：塔楼建筑面积：35355平方米,,,,,,,,,
935,新城蓝钻精装小两房市府旁万达商圈,90万,11539,天宁区红梅,新城蓝钻苑（东区）,2室2厅1厨1卫,低楼层 (共28层),78㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯六户,有,暂无数据,2022-06-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,新城蓝钻 环境优美 休闲安静 配套齐全 交通便利,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",,,小区门口有公交站台，可乘坐26，13，18，19，27，32，42，11路和B1 B2,由新城房地产开发建造，2008年交付使用，小区环境优美，白天一片葱绿，夜晚一片浓荫，休闲安静，居住舒适又安全，外立面由瓷砖防水材料组成防水性能良好，小区设有儿童娱乐设施和地下停车场,,,,,,,,,
936,银河湾星苑 精装 带一个车位 地铁口 大润发旁,275万,21826,天宁区红梅,银河湾星苑,3室2厅1厨2卫,中楼层 (共34层),126㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,银河湾星苑 精装 户型方正 地铁口 大润发旁，看房方便,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,,,,,
937,房东诚心出售。 车站。 地铁， 红梅公园，,126万,19091,天宁区红梅,银河湾星苑,2室1厅1厨1卫,低楼层 (共34层),66㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,： 银河湾星苑 70年的单身公寓 一房一厅 精装修 满两年,：业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子。。。。。。。,,： 此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,： 生活设施齐 银行 大卖场 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,,,
938,金梅花园 三开间朝南 双阳台  好楼层,167万,12490,天宁区红梅,金梅花园,3室2厅1厨2卫,高楼层 (共11层),133.71㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯两户,有,暂无数据,2022-05-25,商品房,2020-10-14,普通住宅,暂无数据,共有,有抵押,已上传房本照片,格局楼层好，视野宽阔，采光好，配套齐全交...,,契税：90平方以下首套和二套房税率为1%；90平方以上首套房税率为1.5%，二套房税率为2%。三套以上房屋，税率都为3%。,,生活设施齐全，菜场，商场，飞龙体育公园，饮食近在咫尺生活起居很方便,,,,,1，户型方正，格局分布合理，空间感好，通透性强，居住舒;适，2，楼层佳，朝向好，视野开阔，采光充沛，3，南北通 透，明厨明卫,,,,,,
