,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,周边配套,税费解析,房源核验码,查询房管备案记录,小区介绍,权属抵押,适宜人群,装修描述,户型介绍,交通出行,别墅类型,用水类型,用电类型,燃气价格
495,龙湖别墅区楼房，环境优美 户型好 采光好 精装修,238万,18707,天宁区青龙,龙湖香醍漫步南区,3室2厅1厨2卫,低楼层 (共32层),127.23㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2021-11-24,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,业主是本地人， 比较友好、热情，也相当有诚意，看房也比较方便,生活设施齐全 农贸菜场 商场 公园 近在咫尺 生活起居很方便,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,,,,,,,
496,景瑞天玺 155平 精装修4房2卫 372万,372万,23942,天宁区青龙,景瑞天玺,4室2厅1厨2卫,高楼层 (共24层),155.38㎡,平层,暂无数据,暂无数据,南 北,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-08-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
497,香溢紫郡 天宁吾悦 房东诚售 价可谈,133万,12430,天宁区青龙,香溢紫郡,3室2厅1厨1卫,低楼层 (共34层),107㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯三户,有,暂无数据,2023-02-01,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 21万元 业主自还,未上传房本照片,此房房东诚售 价格可谈 户型方正 楼层好 采光充足,,商天宁吾悦商圈近在咫尺，工商银行，江南银行，5大购物C市家门口，小区前菜场!成熟小区繁华 小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,,,24小时金管家服务，物业服务D一，买房要买好物业！彩虹跑道，游乐场，健身区域！小区绿化园林设计，环境优美,,,,,,,,,
498,精装修 可拎包入住，近天宁吾悦，生活方便,175万,13387,天宁区青龙,香溢紫郡,3室1厅1厨2卫,高楼层 (共30层),130.73㎡,平层,100.71㎡,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-02-17,商品房,2014-04-22,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精装修 可拎包入住，近天宁吾悦，生活方便,,小区生活实施齐全，商场，*市，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,首套房成交价的1.5%，二套房成交价的2%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,,,,,
499,彩虹城精装大户，户型好，楼层好，看房方便。,176万,15082,天宁区青龙,彩虹城,3室2厅1厨1卫,高楼层 (共28层),116.7㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2021-04-19,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。,,,,,,,,,,,,
500,龙湖香醍时光  2室1厅 南,155万,19375,天宁区青龙,龙湖香醍时光 ,2室1厅1厨1卫,低楼层 (共33层),80㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-04-19,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
501,市府板块，阳光龙庭，精装4房，房东诚售,288万,20282,天宁区青龙,阳光龙庭,4室2厅1厨2卫,高楼层 (共33层),142㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,阳光龙庭 户型方正.采光充足.交通便利.配套齐全,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,
2、增值税：产证满2年免收增值税，未满2年征收5.6％； 
3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
502,龙湖郦城毛坯新空大平层诚意出售！,418万,18821,天宁区青龙,龙湖香醍漫步北区,4室2厅1厨3卫,高楼层 (共32层),222.1㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-08-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 278万元 兴业银行 客户偿还,未上传房本照片,龙湖大平层，品质好，物业好，楼层佳，房东诚心出售,,公园：紫荆公园、翠竹公园 银行：中国银行永宁北路支行、建设银行永宁北路支行、工商银行龙锦路支行。 医院：第二人民医院分院、红梅街道卫生所、武进医院 。在建的龙湖天街，菜场。,,,,,,,,,近永宁北路交通枢纽，29，B11公交线路，自驾近龙城大道高架，青洋高架。出行方便。,,,,
503,常发豪郡花园120平大三房精装房东诚心出售置换,180万,15000,天宁区青龙,豪郡花园,3室2厅1厨2卫,低楼层 (共34层),120㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2020-12-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房楼层偏低 户型方正 房东诚心出售 配套齐全 交通便利,,成熟商圈，配套齐全，银行，医院，饭店，小吃，离天宁吾悦近，吃喝玩乐都全,,,,,,,,"此房户型方正,三室两厅，面积偏大,明厨明卫,采光好,通透性强",小区边有助力脚踏车，多路公交车站台，贯通龙城东西，出行便捷 ，青洋路高架，地铁口外出方便,,,,
504,精装修 可拎包入住，近天宁吾悦，生活方便。,155万,16185,天宁区青龙,香溢紫郡,3室2厅1厨1卫,中楼层 (共34层),95.77㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-09-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,精装修 可拎包入住，近天宁吾悦，生活方便。,,小区生活实施齐全，商场，菜市场，银行等。 2：小区内有健身器材，小型篮球场，可供小区居民使用。 3：小区停车位充足，建有地面临时停车位以及底下停车位。 4：小区内24小时保安巡逻。,契税：90平方以下，首套房成交价的1%，二套房成交价的1%，三套房成交价的3%。 增值税：满2年免征，不满2年成交额征收5.6%。 个税：不满5年征收1%,,,格局分布合理，空间感好，通透性强，居住舒适。 2：楼层佳，朝向南北，视野开阔，采光充沛。 3：小区环境优美，绿化覆盖面积高，干净整洁，内有建设器材和娱乐场所，物业态度比较好,,,,,,,,,
505,金新御园，毛坯6室3厅四卫，大花园。,1450万,34856,天宁区青龙,金新御园,6室3厅1厨4卫,低楼层 (共3层),416㎡,,暂无数据,,南,未知结构,毛坯,,,暂无数据,2022-03-28,商品房,2022-03-28,别墅,未满两年,共有,有抵押,已上传房本照片,天宁吾悦旁 方正6房 地铁二号沿线  随时看房..,,天宁吾悦旁，乐天玛特、欧尚、大润发医院：博爱医院、常州中医院、常州一院、常州二院、中诚大药房邮局：中国邮政（红梅新村）银行：中行、工行、建行、交行、农行、江南农村银行其他：九龙半岛酒店、格林豪泰,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,暂无数据,,,
506,急售蔚蓝天地三房户型好，户型方正，居住舒适价格可谈,165万,17262,经开区青龙,蔚蓝天地,3室2厅1厨1卫,低楼层 (共34层),95.59㎡,平层,暂无数据,板塔结合,南,混合结构,精装,两梯四户,有,暂无数据,2022-11-28,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房格局好，户型方正，楼层佳，视野开阔，采光佳，居住舒适,,,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,小区环境优美，绿化面积大，人车分流，车位充足人文素养高，乐于助人 相处和谐物业方便快捷，安保24小时巡逻，本小区设有门禁 闲杂人等不得入内,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
507,阳光龙庭精装3房，保养好，楼层好 ，视野开阔,200万,15516,天宁区青龙,阳光龙庭,3室2厅1厨2卫,高楼层 (共33层),128.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 91万元 建设银行 业主自还,未上传房本照片,阳光龙庭三房出售，视野采光好 保养好 业主诚心出售,,,,,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
508,龙洲伊都 3室1厅 南,299万,21564,天宁区青龙,龙洲伊都,3室1厅1厨2卫,中楼层 (共24层),138.66㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
509,香溢紫郡，一期精装，满二，家电家具全，中层，采光好,139万,14947,天宁区青龙,香溢紫郡,2室2厅1厨1卫,中楼层 (共34层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-07-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满二，一期精装，家电家具全，中层，采光好,,香溢紫郡，青洋高架和龙城大道高架交通方便。小区门口有二号线地铁站口，多线路公交车，出行很方便。,,,,香溢紫郡，开发商是新城房地产，封闭式小区，小区物业好，绿化到35%。全天保安巡逻。,,,,,上高架300，到天宁吾悦100米，到常州火车站1000米，到市一院2000米。,,,,
510,阳光龙庭精装3房，保养好，楼层好 ，视野开阔,200万,15516,天宁区青龙,阳光龙庭,3室2厅1厨2卫,高楼层 (共33层),128.9㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-09-15,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 91万元 建设银行 业主自还,未上传房本照片,阳光龙庭三房出售，视野采光好 保养好 业主诚心出售,,,,,,阳光龙庭一共42栋，1-21号为别墅区，22-42为高层住宅。一共分三期，2013-2015年。开发商为常州北辰置业有限公司。物业为中房物业,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,,,,,,
511,龙洲伊都 3室1厅 南,299万,21564,天宁区青龙,龙洲伊都,3室1厅1厨2卫,中楼层 (共24层),138.66㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2021-04-20,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
512,香溢紫郡，一期精装，满二，家电家具全，中层，采光好,139万,14947,天宁区青龙,香溢紫郡,2室2厅1厨1卫,中楼层 (共34层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-07-20,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,满二，一期精装，家电家具全，中层，采光好,,香溢紫郡，青洋高架和龙城大道高架交通方便。小区门口有二号线地铁站口，多线路公交车，出行很方便。,,,,香溢紫郡，开发商是新城房地产，封闭式小区，小区物业好，绿化到35%。全天保安巡逻。,,,,,上高架300，到天宁吾悦100米，到常州火车站1000米，到市一院2000米。,,,,
