,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,周边配套,售房详情,权属抵押,交通出行,户型介绍,房源核验码,查询房管备案记录,装修描述,适宜人群,别墅类型
217,新城璞樾和山，房东诚心出售，价格可谈,250万,17723,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),141.06㎡,跃层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2021-12-23,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局通透，采光好，户型方正 ，配套全。,小区环境优美，新城物业，二十小时安保巡逻，生活方便，交通便捷。,契税：首套房，90平米以下成交价的1%，90平米以上成交价的1.5%；二套房90平米以上的成交价的2%。2 增值税:产证满2年免收增值税。3 个税：产证满5年而且是唯一一套住房，免收个税。,丽华大润发，凤凰公园，连锁酒店，湿地公园，各大银行，各类小吃美食一应。 凤凰实小，德美复宁思幼儿园,,,,,,,,,
218,和山新上好房 中间楼层 房东诚售,370万,21143,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,低楼层 (共18层),175㎡,跃层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-11-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,复式楼，跃层。户型方正，采光充足，观景舒适,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主外地置换 现诚心出售，欢迎看房，随时恭候，如看中房子 见面协商，,,,,,,,,
219,大品牌优质次新房，户型佳，楼层佳，小区佳，值得推荐,220万,20084,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,中楼层 (共11层),109.54㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-01-15,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,户型方正，采光充足，观景舒适，楼层好,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,业主现诚心出售，欢迎看房，随时恭候，如看中房子，价格可以再谈谈,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
220,璞樾和山毛坯3房2卫 房东诚售 随时看房 价格可刀,135万,14911,天宁区雕庄,新城招商·璞樾和山,2室2厅1厨2卫,低楼层 (共11层),90.54㎡,平层,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2022-05-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,璞樾和山毛坯3房2卫 房东诚售 随时看房 价格可刀,,税费解析：此房满二，故个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％.,朝阳综合市场，大润发大卖场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄，运河公园。,,此房无贷款，无抵押，产权清晰。房东对付款无要求，按照正常首付就可以。,,,,,,,
221,品质好房，诚心出售，优质社区，适宜居住,318万,18271,天宁区雕庄,新城招商·璞樾和山,4室2厅1厨3卫,高楼层 (共18层),174.05㎡,跃层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-12-29,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,跃层，一梯一户，多享面积多，小高层，新城物业、新城品质,1.小区生活设施齐，商场、菜市场、银行等，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,契税：1.首套90平以下1% 2.首套90平以上1.5% 3.二套90平以下1% 4.二套90平以上2% 5.三套都是3% 增值税：产权满两年免征 产权不满两年征收比例为5.3% 个人所得税：产证满五唯一免征 其他统一1%,天宁吾悦广场，凤凰公园，朝阳综合市场，大润发商场，德安医院，银行交通银行，中国工商银行，中国工商银行，邮政储蓄,,,,,,,,,
222,中海铂悦公馆，精装修小高层，天宁主城区,355万,21449,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,高楼层 (共17层),165.51㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-02-21,商品房,2020-08-20,普通住宅,满两年,共有,有抵押 100万元,已上传房本照片,"卖点：
户型格局好，楼层比较低，采光好，小区配套设施齐..","小区介绍：
小区有洋房，小高层，高层，楼间距大，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆","税费解析：
1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,"售房详情：
房产权清晰，房源真实，业主诚心出售，看房方便，可全程陪同看房",,"交通出行：
中吴大道有公交，很方便。北边有地铁，楼下有共享单车。东边大概1公里就是高架入口，出行还是很方便的",,,,,,
223,璞樾和山纯毛坯好房 诚意出售 价格好谈,230万,17757,天宁区雕庄,新城招商·璞樾和山,3室2厅1厨2卫,高楼层 (共18层),129.53㎡,平层,暂无数据,板塔结合,南 北,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-02-08,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房户型方正，采光充足，观景舒适，楼层好,24小时安保，人车分流的小区，小高层设计，楼间距大， 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库；,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮,,,,,
224,房东诚心卖的，随时可以看房，采光也很好。,360万,25505,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,高楼层 (共17层),141.15㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2023-03-27,商品房,2014-01-02,普通住宅,未满两年,共有,有抵押,已上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区纯小高层，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,"契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，十分陪同过户,,,,,,,,
225,中海铂悦公馆 精装修 中间楼层 看房方便,420万,25435,天宁区雕庄,中海铂悦公馆,4室2厅1厨2卫,高楼层 (共17层),165.13㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-07,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,交通便利，小区设备齐全，房子产权清晰，能正常交易,小区有洋房，小高层，高层，楼间距大，采光好，绿化好，设有儿童游乐区，喷泉景观。分南大门和西大门，都可进出车辆,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,此房产权清晰，房源真实，业主诚心出售，看房方便，十分陪同过户。,,,,,,,,
226,中海铂悦公馆大平层，舒适安静，适合居住！,450万,27109,天宁区雕庄,中海铂悦公馆,4室2厅1厨3卫,高楼层 (共17层),166㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-01-02,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押,未上传房本照片,楼层好，采光好，南北通风，环境优美，舒适安静，适合居住！,1.小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，儿童游乐设施，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流，地上有会客停车位 4.小区物业国家一级资质物业，24小时保安巡逻,此房不满二，满二个税是1%。契税：首套房90平米以下是成交价的1％，90平米以上是成交价的1.5％； 二套房90平米以下是成交价的1％，90平米以上是成交价的2％；三套房是成交价的3％,小区配套齐全，向西1公里有蔷薇公园。2公里有大润发和德安医院，向北3公里有天宁吾悦广场，向东3公里有凤凰公园和正衡天宁分校，青洋高架等。交通和生活便利。,,,,1.户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，南北朝向，视野开阔，采光充足,,,,,
227,精装4室2卫 双阳台 环境舒适,400万,24093,天宁区雕庄,中海铂悦公馆,4室1厅1厨3卫,低楼层 (共17层),166.03㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2023-02-13,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区位置好，环境优美，舒适安静，适合居住,1.小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，儿童游乐设施，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流，地上有会客停车位 4.小区物业国家一级资质物业，24小时保安巡逻,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,   
2、增值税：产证满2年免收增值税，未满2年征收5.3％；  
3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,,,,
228,户型方正，全明格局，楼层好，阳光采光没话说,255万,20079,天宁区雕庄,泰和之春,3室2厅1厨2卫,低楼层 (共33层),127㎡,平层,暂无数据,暂无数据,南,未知结构,精装,暂无数据,暂无数据,暂无数据,2022-04-12,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,生活交通配套便利，户型方正，全明格局，楼层好视,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,天宁板块内中吴大道旁 购物就在家门口 局小分校区，正衡 配套齐全，上学就在家门口，资源充足,,,,,,,,,
229,泰和之春精装四房 四开间朝南 高楼层采光好 看房方便,420万,16031,天宁区雕庄,泰和之春,4室2厅1厨4卫,高楼层 (共17层),262㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2022-05-18,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房精装修 四开间朝南 高楼层采光无影响看房方便,采光好，环境优美，楼间开阔，居住舒适性高楼间开阔，居小区环境优美，治安放心，出行方便，自带活动场所，娱乐与健身一体，绿植保养好采光好，环境优住舒适性高,契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以上成交价的2%；2.增值税：产证满2年免收增值税，未满2年征收5.6％； 3.个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%,优质 天宁板块内中吴大道旁 购物就在家门口 局小分校区，正衡 配套齐全，上学就在家门口，资源充足,,,,,,,,,
