,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,小区介绍,税费解析,权属抵押,适宜人群,户型介绍,周边配套,售房详情,交通出行,房源核验码,查询房管备案记录,装修描述,别墅类型,用水类型,用电类型,燃气价格
899,星海银园东区经典四房房东诚心出售随时电话预约看房,402万,21730,新北区三井,星海银园东区,4室2厅1厨2卫,中楼层 (共6层),185㎡,复式,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 商业银行,未上传房本照片,房子是精装修， 四 房 二厅 一厨 两卫,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房免收个税，未满5年成交价的1%",,,,生活设施齐全 银行，菜场，商场，饮食近在咫尺，生活起居很方便,,地理位置优越，多条公交路线直达市区火车站，交通出行选择多样，较近出行可公交BRT，共享单车，较远出行，可地铁一号线，高架或高速,,,,,,,
900,飞龙吾悦旁 精装两室 诚心出售,140万,15973,新北区三井,绿都万和城三区,2室2厅1厨1卫,低楼层 (共30层),87.65㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-23,商品房,2015-06-05,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型方正，楼层采光好，飞龙吾悦旁 精装两室 诚心出售,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2% 三套房不论面积统一3% 2税 ： 不满二年 收全额的5.6% 3个人所得税： 满两年1% 满五免个人所得税,,,,小区门口有万和minimall，烟酒店等，耶鲁双语幼儿园，往东太湖路上有，农业银行，邮政银行，中国 银行，工商银行，三井医院，万达广场，府琛广场等,,小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可 到万达商圈,,,,,,,
901,小高层户型好，得房率高业主诚心出售,99万,11365,新北区三井,飞龙新苑,2室2厅1厨1卫,高楼层 (共16层),87.11㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-06,商品房,2019-06-20,普通住宅,满两年,共有,有抵押,已上传房本照片,小高层户型好，得房率高业主诚心出售,,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",此房产权清晰，无抵押 房源真实，业主诚心出售，看房方便，过户全程陪同,,,,业主现诚心出售，证件齐，产权清晰，欢迎看房，看房方便，随时恭候,,,,,,,,
902,新北万达广场精装一居带租约出售,35.6万,8128,新北区三井,新北万达广场,1室1厅1厨1卫,中楼层 (共31层),43.8㎡,平层,暂无数据,塔楼,北,钢混结构,精装,三梯二十四户,有,暂无数据,2022-08-02,商品房,2020-01-08,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,"新北万达广场外围小区林立,整体人流量大",品牌公寓，管家细微服务，大厅宽敞明亮、安保严谨、24小时执勤、保洁到位,,,,,新北万达广场楼下就有商场、银行、影院，吃喝玩乐一条街，医院、菜场近在咫尺,,新北万达广场处城市大动脉通江大道旁，楼下就是BRT公交站，多条公交线路，交通便利,,,,,,,
903,飞龙品质小区 人车分流 管家服务 远离铁路 随时看,135万,14537,新北区三井,金地格林郡,3室2厅1厨1卫,低楼层 (共26层),92.87㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-17,商品房,2021-09-09,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,户型方正.采光充足 交通便利.配套齐全，合适居住,,"1.	税费信息
A.首套 90平以下1%
B.首套90平以上1.5%
C.二套90平以下1%
D.二套90平以上2%
E.三套或以上3%

2.增值税：满2年免征，不满2年全额征收5.3%

3.个人所得税：不满5年征1%，满5且家庭 住房，省个税",,,,,,长江路飞龙路配有43、45、50、54、55、98、H1等公交路线到银河湾第 一城下 龙城大道有32、40、201、204路等公交线路到前桥小区站下、98路到飞龙公园下车 1111路到绿都万和城五区站下车。小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，..,,,,,,,
904,金地格林郡一楼带地下室 全天采光 精装修,378万,11124,新北区三井,金地格林郡,5室2厅1厨3卫,低楼层 (共26层),339.81㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2022-06-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,视野开阔 配套齐全 不靠铁路位置安静,小区环境优美，绿化较好，带有休闲设施。交通便利，道路宽阔，出行方便。生活便利，门口有生活配套，能较好地满足日常的生活需求,首套房90平米以下成交价的1％，90平米以上成交价的1.5％，二套房90平以下1%，以上2%，三套房不论大小均为3%； 增值税分析：产证满2年免收增值税，未满2年征收5.3％；个税：产证满五年而且是唯一一套住房，免收个税，未满5年成交价的1%。,,,,环境优美：小区安静优雅，绿化较好，带有休闲设施，可在小区花园游玩，十分有情调。2.交通便利：公交车方向众多，外部道路宽阔，交通十分便利。 3.生活便利：小区内有，合理分布便利店，生活用品及买菜十分便利，生活轻松。,,,,,,,,,
905,世茂二期 小高层精装四开间朝南 采光好有钥匙 随时看,312万,17529,新北区恐龙园,世茂香槟湖二期,5室3厅1厨3卫,低楼层 (共17层),178㎡,平层,暂无数据,板楼,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 业主自还,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,"契税:首套房,90平米以下成交价的1%,90平米以上成交价的15%,二套房,90平 以下成交价的1%,90平以上成交价的2%,三套及以上,成交价的3%;2、个税:产 证满五唯一,免收个税,不唯一交成交价的1%","贷款抵押：此房可以正常交易，没有抵押
售房原因：业主卖房为了换房改善",,此房全新装修未入住，楼层好，户型通风好，视野很好，采光很好。客厅开间很宽，居住舒适。,,,,,,,,,,
906,急售！此房中叠（扩了60平使用面积）带仓库100平米,460万,29678,新北区三井,雅居乐常乐府,3室2厅1厨3卫,低楼层 (共3层),155㎡,复式,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2022-01-05,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房价格面谈为主，看完此房知道什么是好房,,买家契税：A产证面积小于90㎡ 首套房成交价格的1% 二套1%三套3% B产证面积大于90㎡（含90㎡） 首套房成交价格的1.5% 二套2%三套3% 【不动产权计算套数，只认常州市不动产权住宅（别的房子不计算套数，贷款也不算）别的城市房子不算套数】,,,【小区户型】户型多为复式，客厅是挑高的，可以自己做土建，总高六层的洋房，5层6层阁楼的,,"1、售房原因：房东家宝宝上学的地方不在这边，想买一个自己家孩子近点的 2、房屋状态：随时可以看房，业主随时可以签约 3、特殊要求：贷款 全款 都可以（付款周期也可以等） 此房源业主诚心出售,只要你的价格在这个范围内都可以和业主坐在一起谈。",,,,,,,,
907,康桥水郡 2室1厅 南,120万,12904,新北区三井,康桥水郡,2室1厅1厨1卫,中楼层 (共26层),93㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,暂无数据,2022-09-03,商品房,2021-03-03,普通住宅,暂无数据,共有,有抵押,已上传房本照片,,,,,,,,,,,,,,,,
908,新城樾府，楼层好，视野无遮挡，随时看房,499万,27640,新北区三井,新城樾府,4室2厅1厨3卫,低楼层 (共32层),180.54㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,位置好，视野宽阔，采光无遮挡，配套设 施 齐 全，交 通 便 利,小区地理位置好，绿化多，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%，三套3% 2、增值税：产证满2年免收增值税，未满2年征收5.3％ 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,,业主诚心出售，随时可以看房，产权清晰，如有看中，全程配套签约过户,,,,,,,,
909,地铁口 天誉城市花园别墅 带前后院 采光好 配套齐全,750万,25253,新北区三井,天誉城市花园一期,5室2厅1厨3卫,低楼层 (共3层),297㎡,,暂无数据,,南,钢混结构,毛坯,,,暂无数据,2022-04-14,商品房,暂无数据,别墅,暂无数据,共有,有抵押,未上传房本照片,项目西依晋陵路、东靠天目山路、南近龙城大道、北临太湖路，,天誉花园，项目特色为新古典主义浪漫风情别墅。地处常州市政府地段，国际原址，独享常州新、市民广场、常州大剧院、奥体、规划馆、博物馆等配套。,,,,,,业主很信任我，我能了解业主卖房新的动态。目前市场交易量平稳，政策已经基本稳定，是市场触底入手的好时候。请不要错过的好房。,【配套】配套齐全，小区就是餐饮，购物广场，医院，菜市场等，小区旁就有幼儿园，四大银行，公园，娱乐场，美食街，只有你想不到 的，没有你买不到的。 【交通配套】交通便利，不行可到站，自驾出行国道高速四通八达，公交站牌就在小区门口，..,,,,联排,,,
910,雅居乐星河湾 3室2厅 南,198万,20205,新北区三井,雅居乐星河湾,3室2厅1厨1卫,高楼层 (共33层),98㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,112419046503,,,,,,
911,此房满两年，70年产权住宅，民水民电可用燃气,88万,15814,新北区三井,新北万达广场,1室1厅1厨1卫,高楼层 (共31层),55.65㎡,平层,41.52㎡,塔楼,南,钢混结构,精装,四梯十四户,有,暂无数据,2022-08-28,商品房,2016-01-28,普通住宅,暂无数据,共有,有抵押 15万元,已上传房本照片,此房满两年，70年产权住宅，民水民电可用燃气,,房子为70年产权住宅，契税：首套和二套，都是成交价的1％。个税：1%,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,,,配套完善，生活设施齐 银行 菜场 商场 饮食近在咫尺 生活起居很方便,,,,,,,,,
912,龙湖原山 5室2厅 南,1469万,38057,新北区恐龙园,龙湖原山,5室2厅1厨5卫,低楼层 (共3层),386㎡,,暂无数据,,南,未知结构,精装,,,暂无数据,2023-09-08,商品房,暂无数据,别墅,暂无数据,非共有,无抵押,未上传房本照片,,,,,,,,,,,,,暂无数据,,,
913,金梅花园北区 4室2厅 南,208万,12200,天宁区红梅,金梅花园北区,4室2厅1厨2卫,高楼层 (共18层),170.5㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
914,小区环境优雅，配套成熟，交通便利,125万,14252,新北区三井,绿都万和城二区,2室2厅1厨1卫,低楼层 (共33层),87.71㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯四户,有,暂无数据,2023-05-01,商品房,2015-04-07,普通住宅,暂无数据,共有,无抵押,已上传房本照片,小区环境优雅，配套成熟，交通便利,,契税 首套房90平以下 1%，90平以上1.5% 二套房90平以下1%，90平以上2%。。 三套房不论面积统一3% 的税： 不满二年 收全额的5.3% 的税： 满两年1% 满五免个人所得税,,,,农贸菜场 商场 饮食近在咫尺 起居很方便..........,,小区出门200米就是龙城大道高架，上下班高峰可避免拥堵，出行便利，门口天山路主干道向北1000米可到万达商圈,,,,,,,
915,满5唯一 小高层 南北通 户型方正 采光好 顶楼复式,209万,12515,天宁区红梅,金梅花园,4室2厅1厨3卫,高楼层 (共18层),167㎡,复式,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-11-15,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满5唯一， 小高层 南北通 户型方正 采光好 出现便利,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,,出门就有农业银行，600米处还有兴业银行，700米处有工商银行，取钱很方便；500米处有大型商场好比家和乐瑞家生市，购物方便，小区配套设施成熟，衣食住行都能满足,,小区门口就有共享单车停车点，400米处就有公交站台，可以乘坐13，18，31等，公共交通很便利，地处繁华，打车也很快，交通便利,,,,,,,
