,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,周边配套,交通出行,户型介绍,装修描述,权属抵押,售房详情,税费解析,小区介绍,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格,别墅类型
677,成熟小区  经典温馨 采光很棒 馨河郦舍 随时可看,140万,15838,新北区河海,荣盛馨河郦舍,3室2厅1厨1卫,高楼层 (共11层),88.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-06-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,格局分布合理，精装修  楼层好  诚心卖,,小区在恐龙园旁，步行可至恐龙园迪诺水镇，恐龙园奥特莱斯大型购物商场、CGV影城近在咫尺，龙湖天街、东经120、金融商务区都在一公里生活圈，另外小区旁的河海路上是有各式美食日料一条街。小区至万达、环球港几公里，生活便利。,,恐龙园边  精装修 双南设计 楼层佳  采光好 格局好 没有浪费空间,,,,1：契税首套房90平以下 1%，90平以上1.5%二套房90平以下1%，90平以上2%三套房不论面积统一3%++ 2：税：满两年不论面积 全免，不满二年 收全额的5.6% 3：个人所得税：满两年1%，满五年且出售方名下唯.一住房免个人所得税,,,,,,,
678,天润园，人车分流，采光好，客厅宽敞明亮。,238万,18682,新北区河海,天润园,3室2厅1厨2卫,低楼层 (共30层),127.4㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2020-01-08,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,大平层 精装修 拎包即住 配套设施齐全，随时看房诚心出售,,,,,精装修拎包入住全屋品牌家具只带走私人物品采光好 等待有缘人 业主诚心出售,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房，90平以下成交价的1%，90平以上成交价的2%,三套及以上，成交价的3%；2、个税：产证满五唯一，免收个税，不唯一交成交价的1%",小区环境好 有操场有小朋友玩的地方绿化多入住率也很高物业费电梯房实惠,,,,,,
679,繁华里品质小区精装三房买一户得两两户,196万,19634,新北区河海,繁華里,3室2厅1厨1卫,低楼层 (共28层),99.83㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2020-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房满二，买一户得两户，精装拎包住,,,,房子楼龄新户型三开朝南，南边有个阳台可以上西边的一户，西边一户是123平的户型也装修好了，可以做储藏室可以做卧室，买一层得两层,家里装修都是品牌装修，房子配有保洁人员专门上门打扫，保养好，拎包住,,,,小区为九龙仓物业，小区有三个出入口，小区环境好，管理到位，交通配套齐全,,,,,,
680,地铁口 天安花园三房朝南 采光佳 房东诚售,149万,11869,新北区河海,天安花园,3室2厅1厨1卫,中楼层 (共6层),125.54㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-12,商品房,2023-11-30,普通住宅,未满两年,共有,有抵押,已上传房本照片,地铁口三开间朝南楼层好采光佳房东诚售价可谈,,,,此房三朝南三房两卫楼层好采光佳房东诚售房东诚售房东诚售房东诚售,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.3％； 3、个税：产证满五年而且是一套住房，免收个税，未满2年成交价的1%",小区地理位置好 位于新北区 新区公园东侧  小区北门出去就是地铁口出行方便,,,,,,
681,百万装修，中 y空调，地暖，四开间南户型,403万,20562,新北区河海,天润园,3室2厅1厨2卫,低楼层 (共31层),196㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-01-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,装修百多万，中间楼层，户型开间朝南，诚心出售，南北户型。,,"包围区外周的森林带，以及内部开阔的大尺度现代庭院
•1%的纵向坡度，南北形成4米的高差，使庭院景观更丰富","龙城规划的城市，集中了城市规模的公共问题设施，与显赫的居住区为伍。
底密度：13.7%的底建筑密度，平均12亩地造一幢建筑，真正的大尺度，大空间，大视野。
山地坡景：高差5米的山地式坡景，开创性的立体现代庭院，令..",,,,,,"整体布局：十幢建筑，东西两列，呈南偏东规整布局。
建筑设计：强调纵深感，淡化横向线条；解构造型，简洁中富有变化。",,,,,,
682,蓝色港湾，环境好，看房方便，万达旁,175万,13070,新北区河海,蓝色港湾花园,3室2厅1厨2卫,中楼层 (共10层),133.9㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2021-05-11,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,生活交通便利，次新小区，低密度,,出小区大门就是菜场，CHAO市，医院等，生活交通很便利，低密度，宜居,,此房是3室两厅两卫，两房朝南，客厅朝东的边户，中间楼层，前排无遮挡。,此房是精装修的，房东自住，保养不错，家具家电齐全，拎包入住。,,,,,,,,,,
683,欧式园林风，对标恐龙园龙湖景粼天著,278万,20109,新北区河海,御庭园,3室1厅1厨2卫,高楼层 (共30层),138.25㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,暂无数据,暂无数据,暂无数据,2023-04-07,商品房,2017-03-05,普通住宅,满五年,非共有,有抵押,已上传房本照片,新北区高点楼盘，欧式园林风，对标恐龙园龙湖景粼天著，万达商圈新城御景湾，是河海板块节节高楼盘。,,,,,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%。",,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,112413900842,视野宽阔，采光充足，格局分明，明厨明卫，开间朝南，纯毛坯。,,,,
684,吟枫苑东区商品房 一梯一户的两房，有钥匙随时看房,143万,15639,新北区河海,吟枫苑东区,2室2厅1厨1卫,高楼层 (共25层),91.44㎡,平层,68.34㎡,板塔结合,南,钢混结构,简装,两梯两户,有,暂无数据,2021-12-20,商品房,2010-05-06,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子是西边户 一梯一户的小面积两房 客厅南北通 带阳台 主卧朝南带飘窗 次卧朝北 厨房卫生间 全明 高区采光好,,,,房东现在想把这套小面积的房子卖掉 换一个大一点的 留个孩子结婚  所以诚意出售,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%, 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,112455948692,万达广场商圈 高层住宅小区 一梯一户的两房 高区采光没遮挡，,,,,
685,新北区zhong央公园，地铁5号线，锦绣天地，品质4房,260万,18383,新北区河海,锦绣天地,4室2厅1厨2卫,高楼层 (共34层),141.44㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2020-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 60万元,未上传房本照片,小区环境优雅，配套成熟 南面是湿地公园,孕婴老幼，人车分流 人文环境好 临边有公园 chao市 方便日常生活,南面是湿地公园，小区门口就是曼哈顿广场，吃喝玩乐一应俱全！距离万达仅1.5公里！距离江南环球港2.2公里,,,,,,,小区地理位置好，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场和地下车库 保安：小区内24小时保安巡逻,,,,,,
686,天安花园一楼带大院别墅式的居住体验,421.8万,18500,新北区河海,天安花园,3室2厅1厨2卫,低楼层 (共9层),228㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-05-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全朝南户型 地铁口边 边上配套齐全 欢迎随时看房..,,,,此房源两户打通，一楼带大院子，实际面积大，别墅式的居住体验。,精装修拎包即住 ，保养的也比较好，对装修要求高的可以拆除重新装修！,,,目前在常州首房首贷首付3成，二贷首付6成，税费：契税：首套90平以下1个点，90以上1.5，二套90以下还是1个点，二套90以上2个点，3套不计面积都是3个，个税：房子满五唯一免征，不唯一1个点。增值税：满二：免征,,,,,,,
687,中海锦珑湾 精装三房 好楼层 视野开阔 拎包住,135万,15341,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,高楼层 (共19层),88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-11-11,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,小区环境好 绿化高 房子好楼层 视野开阔,,,小区出北门口有共享单车 出北门50米出有527路公交车 出行方便,,,,,税费:首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,央企 中海物业 小区生活方便，出小区800米到玲珑菜场跟信特卖场 龙虎塘 学 校 到幼儿园出小区100米就能到 平常带孩子步行即可,,,,,,
688,全新精装修，楼层好，视野旷阔，采光充足，交通便利,374万,26525,新北区河海,龙湖景粼天著,4室2厅1厨2卫,中楼层 (共27层),141㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2023-11-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 180万元 业主自还,未上传房本照片,楼层好，视野旷阔，采光充足，交通便利,,,,,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同。,业主现在诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，可谈。,1、契税：首套房，90平米以下成交价1%，90平米以上成交价的1.5%。二套房90平以上成交价的2%。 2、增值税：产证满2年免收增值税，未满2年征收5.6%。 3、个税：产证满5年而且是唯一一套住房，免收个税，未满5年，成交价的1%,,,,,,,
689,兰翔二村精装好房 房东诚意出售,68万,9883,新北区河海,兰翔二村北区,2室1厅1厨1卫,中楼层 (共6层),68.81㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-10-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,此房地铁一号线直达，新北河海成熟板块，坐拥环球港 万达商圈，,,小区地理位置佳，绿化高，居民素质高 配套：有健身器材，小型篮球场，可供小区居民使用 车位：停车位充足，建有地上停车场,,户型方正，两房朝南 朝南带阳台，客厅朝北 厨房卫生间全部全明，布局合理，无浪费面积， 小区安静舒适，环境优美，适宜居住~,,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取,,,,,,,
690,"你看的不是一套房,是对美好的向往，小区商圈成熟",33万,9991,新北区河海,朗诗绿郡花园,1室0厅1厨1卫,高楼层 (共30层),33.03㎡,平层,暂无数据,塔楼,南,钢混结构,精装,四梯二十四户,有,暂无数据,2023-10-29,商品房,2023-03-24,商住两用,未满两年,非共有,无抵押,已上传房本照片,小区环境优雅配套成熟交通便利舒适,,小区设施配套齐全公园银行菜场商场饮食近在咫尺公园就隔一条马路,出了小区门口，有公交出行，有19路，B13路，出行方便，到环球港 常州北站都方便,,,,,90平以上首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3%的增值税。90平以下.前两套1%.三套3%,,,,未知,未知,,
691,精装公寓 产权43平，带家具家电 交通便利,42万,8763,新北区河海,富都商务公寓,1室1厅1厨1卫,低楼层 (共22层),47.93㎡,复式,暂无数据,塔楼,南,钢混结构,精装,五梯三十四户,有,暂无数据,2023-05-24,商品房,2018-07-23,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,精装公寓 产权43平，带家具家电 交通便利,此房在通江路公交沿线，万达和环球港中间，适合年轻人居住，楼上居住楼下客厅,,此房在通江路公交沿线，万达和环球港中间，适合年轻人居住的好房子。。。,楼下客厅卧室，居住办公都可以户型，精装修。合年轻人居住的好房子。。。,,,,,新区公园平时可以散步，散心，楼下小吃，餐馆齐全，出门有公交站台，出行便利，小区是封闭式小区，设置安保，24小时巡逻，居住更安全放心，小区设有水系景观，公共健身区域和儿童游乐区,,,,,,
692,锦绣天地 三层空中墅 纯毛坯 有钥匙看房 价格可砍,350万,45896,新北区河海,锦绣天地,6室2厅1厨3卫,高楼层 (共34层),76.26㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯三户,有,暂无数据,2022-10-04,商品房,2018-10-11,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,小区环境优雅，上下三层空中墅，适合改善,,南面是湿地公园，小区门口就是曼哈顿广场，吃喝玩乐一应俱全！距离万达仅1公里！距离江南环球港1.1公里,公交：B13路、19路公交车至常州行 政服务中 心站下；驾车：汉江路、通江大道等多条路线构成立体交通脉络，距离龙江高架、沪宁高速、京沪高铁、沪宁城际铁路车程较近,,,,,90平以上首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.3的增值税。90平以下首套房契税是1%，二套是1%，三套及以上是3%,,,,,,,
