,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,适宜人群,售房详情,税费解析,房源核验码,查询房管备案记录,户型介绍,交通出行,小区介绍,周边配套,权属抵押,用水类型,用电类型,装修描述,别墅类型,燃气价格
283,地铁K 精装修四室  有钥匙随时看房,95万,10570,新北区龙虎塘,盘龙苑西区,3室2厅1厨2卫,高楼层 (共6层),89.88㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 62万元,未上传房本照片,此房楼层好 户型好 业主诚售 有钥匙 随时可看,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,,,,,,,,
284,九洲花园新上房源 小户型 刚需  首付低,103万,12561,新北区龙虎塘,九洲花园北区,2室2厅1厨1卫,高楼层 (共26层),82㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,此房户型好，采光好，视野开阔 ，首付低,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,出行方便，小区门口环保自行车、公交站，邻近地铁站、高铁站，高速口,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香 小区生活配套齐全,配套齐全，与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,,,,,
285,美林湖花园常州产权 纯毛坯3房 楼间距大 价格可谈,125万,10965,新北区龙虎塘,美林湖花园,3室2厅1厨1卫,低楼层 (共22层),114㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-10-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 30万元,未上传房本照片,房子纯毛坯 方便装修 小区新 人车分流 低密度小区 居住舒适,,此房产权清晰，房源真实，业主诚心出售，看房方便，过户全程陪同,"税费分析 1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2%,2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是唯 一套住房，免收个税，未满5年成交价的1%",,,,,,,业主现诚心出售，证件齐，欢迎看房，随时恭候，如看中房子，价格可谈。,,,,,
286,楼层好 视野宽阔 采光好 配套齐全 交通便利,168万,13440,新北区龙虎塘,九洲花园南区,3室1厅1厨2卫,高楼层 (共27层),125㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯三户,有,暂无数据,2023-07-31,商品房,2014-08-19,普通住宅,暂无数据,共有,无抵押,已上传房本照片,楼层好 视野宽阔 采光好 配套齐全  交通便利,,,"此房满五唯一，免征个税，免征增值税， 首套房90平米以上成交价的1.5%,二套房90 平以上2%,三套房不论大小均为3%",,,,,小区环境好，物业管理好，安全配套齐全 小区绿化好，绿树成荫，鸟语花香,配套齐全，与祥龙绿地公园一路之隔，人文环境好， 楼下儿童游乐场，健身器材， 菜市场，公园，公交站等配套齐全,,,,,,
287,玲珑花园大面积三房 精装自住 拎包即住！,140万,10498,新北区龙虎塘,玲珑花园,3室2厅1厨2卫,低楼层 (共30层),133.37㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-09,商品房,2021-11-17,普通住宅,暂无数据,共有,有抵押,已上传房本照片,新装修保养好，自住中，拎包即住，生活配套齐全,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,房子是一年多前新装修的家电齐全，自住保养好，可以拎包入住。。,,
288,此房精装修，生活温度，适合刚需 小区安静优美,135万,11638,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,低楼层 (共18层),116㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2022-05-04,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元,未上传房本照片,此房精装修，生活温度，适合刚需 小区安静优美,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,,,小区门口有共享单车，出小区300米29路公交车，距离地铁1好线环球港站1000米,本小区生活方便，出小区300米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
289,玲珑花园，好楼层，经典户型，装修很好，房东诚意出售,150万,11628,新北区龙虎塘,玲珑花园,3室2厅1厨2卫,高楼层 (共11层),129㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2022-02-22,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,此房装修很好，户型很好，经典楼层，小高层,,,"1、契税：首套房，90平米以下成交价的1％，90平米以上成交价的1.5％, 二套房90平以上成交价的2% 2、增值税：产证满2年免收增值税，未满2年征收5.6％； 3、个税：产证满五年而且是一套住房，免收个税，未满5年成交价的1%",,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴,,,小区 生活设施齐全 银行 菜场 商场 饮食 公交 地铁 近在咫尺,,,,,,
290,美林湖花园 3室2厅 南 北,185万,13990,新北区龙虎塘,美林湖花园,3室2厅1厨2卫,高楼层 (共22层),132.24㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-03-16,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,,,,,,,,,,,,,,,,
291,环球港旁 龙虎塘玲珑花园精装大三房，家具家电齐,142万,10653,新北区龙虎塘,玲珑花园,3室2厅1厨2卫,低楼层 (共30层),133.3㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-07-12,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区位置安静 绿化高 环境好 房子中上楼层 精装修/看房方便,,,首套房90平及以下1%，90平以上1.5%，二套房90平及以下1%，90平以上2%，三套房不论面积都是3%,,,,小区门口有共享单车，出小区200米29路公交车，距离地铁1好线环球港站1300米,,本小区生活方便，出小区200米到玲珑菜场跟信特卖场 龙虎塘 学 校 跟幼儿园出小区300米就能到 平常带孩子步行即可,,,,,,
292,馨河郦舍，香树湾福园旁，香树湾名苑精装3室出售,168万,12730,新北区龙虎塘,香树湾名苑,3室2厅1厨2卫,中楼层 (共18层),131.98㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯五户,有,暂无数据,2023-01-23,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
293,锦珑湾花园 3室1厅 南 北,138万,12569,新北区龙虎塘,锦珑湾花园,3室1厅1厨2卫,高楼层 (共19层),109.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-05-11,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,,,,,,,,,,,,,,,,
294,三江花园  毛坯     离环球港近  看房方便,160万,12800,新北区龙虎塘,牡丹·三江公园,3室2厅1厨2卫,低楼层 (共16层),125㎡,平层,暂无数据,板楼,南,钢混结构,毛坯,两梯两户,有,暂无数据,2023-09-27,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,临环球港，繁华地段，毛坯洋房 户型方正，采光好,,,关于税费主要与买方有关，契税根据买方名下几套房决定；首套房1.5% 二套房2% 三套房3%,,,,环球港、万达、丰臣综合商场、长江贸易、奔驰宝马4S店 银行：中国银行、农业银行、工商银行 游乐设施：恐龙园,小区生活设施齐全，商场、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,,,,,,,
295,恐龙园馨何郦舍香树湾福园旁锦龙湾3房出售,140万,12728,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,低楼层 (共18层),110㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,四梯四户,有,暂无数据,2023-02-14,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
296,龙虎塘玲珑花园 精装大户  采光佳 看房方便,160万,11715,新北区龙虎塘,玲珑花园,3室2厅1厨2卫,低楼层 (共30层),136.58㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-04-03,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 80万元,未上传房本照片,此房满两年 户型好 交通便利，出门公交站,此房前面视野开阔，采光好，以利用空间多，大户型，适合多人口居住,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,,出小区就是商场、酒店、健身馆、游乐场、大型综合商场等生活配套齐全，五洲国际广场，环球港，小湖市场，恐龙园,,,,,,
297,恐龙园旁精装3+1户型，一梯一户。品质物业,260万,18841,新北区龙虎塘,锦珑湾花园,3室2厅1厨2卫,中楼层 (共18层),138㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯两户,有,暂无数据,2021-08-08,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 30万元,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适,,,"：
税费：首套房契税是1.5%，二套是2%，三套及以上是3%，如不满两年增加5.6的增值税",,,,,,,,,,房子是精装修，品牌家具，只是偶尔回来住住。房子保养的好。会定期找阿姨打扫的,,
298,龙栖花园三开间朝南 客厅南北向 纯毛坯高区大三房,115万,8805,新北区龙虎塘,龙栖花园,3室2厅1厨2卫,高楼层 (共11层),130.61㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-03-11,商品房,2020-03-13,普通住宅,暂无数据,共有,无抵押,已上传房本照片,房子是两个房间朝南 一个房间朝北的大三房  而且客厅是朝南带阳台 餐厅朝北 属于南北  通风的经典户型 厨房卫生间 全明有窗户  房子毛坯的 也方便装修 现在诚意出售的,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取,,112478685559,此房产证已经满两年啦 可交易 房子总高11楼的小高层 采光无遮挡,房东现在特意空关来出售这个房子 房子卖掉要变现 诚意出售的 看房随时,,,,,,,,,
299,精装3房2卫，好楼层全天采光，价格可谈。,140万,12728,新北区龙虎塘,锦珑湾花园,3室2厅1厨1卫,高楼层 (共19层),110㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-03-17,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,小区环境优雅，配套成熟，交通便利，居住舒适。,,业主人非 常友好、热情，很有诚意出售。欢迎看房，随时恭候户型棒，成熟小区管理。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,,,,,,生活设施齐 ，农贸菜场 商场 饮食近在咫尺 生活起居很方便。,,,,,,
