,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,售房详情,户型介绍,税费解析,适宜人群,周边配套,小区介绍,交通出行,装修描述,权属抵押,别墅类型,房源核验码,查询房管备案记录,用水类型,用电类型
80,滨江明珠城二期 2室1厅 南,124.9万,13590,新北区小新桥,滨江明珠城二期,2室1厅1厨1卫,中楼层 (共23层),91.91㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-14,商品房,2020-11-16,普通住宅,暂无数据,非共有,有抵押 80万元 江苏银行股份有限公司常州分行 客户偿还,已上传房本照片,,,,,,,,,,,,,,,
81,天禄西阆苑 精装两房 采光佳 房东诚心出售,110万,13653,新北区小新桥,天禄西阆苑,2室2厅1厨1卫,低楼层 (共17层),80.57㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-08-09,商品房,2020-01-15,普通住宅,暂无数据,共有,有抵押 40万元,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,1：发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,,,,
82,高铁新城   滨江明珠城   精装两房    诚心出售,85万,10779,新北区小新桥,滨江明珠城,2室2厅1厨1卫,中楼层 (共22层),78.86㎡,平层,64㎡,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-02-08,商品房,2010-04-09,普通住宅,暂无数据,共有,无抵押,已上传房本照片,全明户型，南北通空间，惬意悠享假日生活；方正通透,,优雅观景卧室，让阳光与清风轻松入户，给诗意生活更添无限情趣；夕阳与晨曦在枕间悄然停落；让阳光筑慵懒小巢卫浴。,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,"婚房等需求，便拎包入住。即买即享受。
论一位经纪人的自我修养，此房源值得推荐。发现生活温度，适合刚需、改善",,,,,,,,,,
83,满五唯一 随时可交易 全方位景观,165万,12706,新北区小新桥,清水湾花园三期,3室2厅1厨2卫,低楼层 (共27层),129.87㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯四户,有,暂无数据,2021-07-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,方正通透，大面宽，视野宽阔采光无遮挡，配套设施齐全,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房唐慧，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率），若买方此次购 房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税 均按照3%收取。,发现生活温度，适合刚需、改善、婚房等需求，即买入住即享受。 论一位经纪人的自我修养，此房源值得推荐,,,,,,,,,,
84,滨江明珠城房东153平诚心售出，看中价格可谈,173万,11313,新北区小新桥,滨江明珠城,4室2厅1厨2卫,高楼层 (共22层),152.93㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-19,商品房,2023-10-18,普通住宅,未满两年,共有,无抵押,已上传房本照片,"小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利

.",房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖，,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,,,,
85,此房户型方正，采光好，楼层好，2房1厅1厨1卫,68万,8314,新北区小新桥,新龙花苑东区,2室2厅1厨1卫,高楼层 (共6层),81.79㎡,平层,73.42㎡,板塔结合,南,钢混结构,精装,暂无数据,无,暂无数据,2023-05-23,商品房,2012-02-27,普通住宅,暂无数据,共有,无抵押,已上传房本照片,此房户型方正，采光好，楼层好。,,,,对于正常架构家庭来讲，这个小区的优点就是有水系建设，管理较 好，安全，上台阶处都有扶杆，设计比较人性化，而且小区封闭，人车分流,小区自带腾龙苑菜市场、新龙花苑菜场，距离新桥华润万家800米，距离第四人民医院1.5公里，门口就有公交19路，有新桥小 学、龙虎塘小 学、新桥中 学、龙虎塘中 学等,小区分地上车位很地下车位，小区中间有一座写字楼新桥街道办事处，提供住户生活上面的帮助。,,,,,,,,
86,新景花苑一期纯毛坯，中间楼层，有钥匙好看房,105万,12963,新北区小新桥,新景花苑西区,2室2厅1厨1卫,低楼层 (共18层),81㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2022-05-31,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,高铁板块，痛风性强格局，楼层好，视野宽阔。采光充足，配套齐备,业主原来打算装修好自用，因为工作的原因要离开这个片区，所以诚意出售，正常首付，接受商贷和公积金贷款,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,1.契税： 首套房90㎡以下1%，以上1.5% 二套房90㎡以下1%，以上2% 三套房不论面积大小均为3% 2.税及附加： 满4年不论面积全免 不满4年全额的5.6% 3.个人所得税： 个税全额的1% 房东满5减免,,,,,,,,,,,
87,高铁新城 锦海星城 三面采光 楼层好 户型好 业主诚售,146万,11870,新北区小新桥,锦海星城,3室1厅1厨1卫,高楼层 (共15层),123㎡,平层,暂无数据,板塔结合,南 西 北,钢混结构,简装,暂无数据,暂无数据,暂无数据,2022-08-29,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 100万元 商业贷款 客户偿还,未上传房本照片,此房三面采光 楼层好 户型好 随时可看 业主诚售,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,出门有共享单车，楼下就是公交车站，距离地铁一号线两个红绿灯，距离高铁站，汽车站还是比较近的，交通还是比较方便的,此房简单装修 相当于毛坯 可根据自己喜欢的风格改造自己喜欢的户型,,,,,,
88,新景花园，精装两房，采光全天。,123万,14664,新北区小新桥,新景花苑二期,2室2厅1厨1卫,高楼层 (共11层),83.88㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-04-05,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 41万元 41万建设银行 客户偿还,未上传房本照片,此房装修很好，用的全套胡桃色实木装饰，打理起来很干净。,,户型两房朝南，采光很好，因此房楼层很好，故视线及套内光线很不错。,,,,小区是安置回迁房，产证已满两年，小区门口饭店，商店，餐饮业发达，适合居住，东边有运动公园，西边有校区，是一个宜居的小区。,,装修用的全套胡桃色的实木装饰，包括地板和柜子，门套等，此房房东很少入住，故装修保持的很好。,,,,,,
89,房东诚心，出售楼层采光较好。户型也好,135万,11370,新北区小新桥,龙控绿地公园道,3室2厅1厨2卫,高楼层 (共18层),118.74㎡,平层,暂无数据,暂无数据,南,未知结构,毛坯,暂无数据,暂无数据,暂无数据,2023-10-27,商品房,2023-07-24,普通住宅,未满两年,非共有,有抵押 95万元 中国建设银行 业主自还,已上传房本照片,户型周正，空间感好，通透性强 ，房龄新，现在的横厅设计,,户型周正，格局分布合理，空间感好，通透性强，居住舒适 2.楼层佳，视野开阔，采光通透,契税：A首套 90平以下1% B首套 90平以上1.5% C二套90平以下1% D二套90平以上2% E三套都是3% 增值税：满两年免征 不满2年权.额征收5.3% 个人所得税：不满5年征1%,,,小区生活设施齐，商场、菜市场、银行等，交通便捷 2.小区内有健身器材，小型篮球场，可供小区居民使用 3.小区内停车位充足，建有地下停车场，人车分流。地上有会客停车位。 4.小区内24小时保安巡逻 ，小区环境好,,,,,,,,
90,高铁新城，纯毛坯，顶复大户，稀有户型,180万,10345,新北区小新桥,滨江明珠城,5室2厅1厨3卫,高楼层 (共18层),174㎡,复式,暂无数据,板塔结合,南,钢混结构,毛坯,两梯两户,有,暂无数据,2021-03-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,全明户型，惬意悠享假日生活；方正通透,,,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收..,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。 论一位经纪人的自我修养，此房源值得推荐,,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学,,,,,,,
91,西瑶苑，新桥，北站，毛坯，三室,178万,13907,新北区小新桥,西瑶苑,4室2厅1厨1卫,中楼层 (共18层),128㎡,平层,暂无数据,板楼,南,框架结构,毛坯,两梯四户,有,暂无数据,2019-09-10,商品房,暂无数据,普通住宅,暂无数据,非共有,有抵押 10万元 商业银行 业主自还,未上传房本照片,此房格局好，视野宽阔，采光充足，配套设施齐全,,,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,1、小区生活设施齐全，*市、菜市场、银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,,,,,,,,
92,高铁新城 滨江明珠城 精装修 户型好 随时可看诚心出售,188万,12288,新北区小新桥,滨江明珠城,4室2厅1厨2卫,高楼层 (共22层),153㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,暂无数据,2023-04-26,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押 50万元 公积金 业主自还,未上传房本照片,小区地理位置优越，交通便捷，辐射广，设施齐全，生活便利,房东诚意出售 价格可谈！欢迎致电咨询，看房方便！ 此房业主诚心卖，,,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,小区自带幼儿园，西临常州市北郊，常州技师学院、旅游贸易学院， 商场：小区门口就是综合市场，西临新桥广场，华润万家，苏杭时代购物广场， 医院：新桥医院 ， 第四人民医院 银行：邮政银行，江苏银行，建设银行,小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好；,,,,,,,,
