,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,税费解析,周边配套,交通出行,小区介绍,户型介绍,别墅类型,售房详情,适宜人群,装修描述,权属抵押,房源核验码,查询房管备案记录,用水类型,用电类型,燃气价格
74,聚怡花园临河非顶楼东边户目前业主自住诚心出售,135万,11581,新北区薛家,聚怡花园南区,4室2厅1厨2卫,高楼层 (共18层),116.58㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-09-08,商品房,2019-06-10,普通住宅,暂无数据,共有,有抵押,已上传房本照片,此房楼层好，视野无遮挡，临河业主诚心出售,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,1、小区边生活设施齐全，、菜市场、银行、交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正，格局分布合理，空间感好，通透性强，居住舒适； 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积覆盖高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷,,,,,,,,,,
75,白马公馆 三朝南 满5省税 随时看房,126万,14273,新北区薛家,白马公馆,3室2厅1厨1卫,低楼层 (共33层),88.28㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2022-06-01,商品房,2016-08-17,普通住宅,暂无数据,共有,有抵押,已上传房本照片,白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。 会所及沿街组成。满足不同人群的共同梦想居所。高架贯通轻松链接五大区,小区楼下有共享单车车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口,,,契税：90平以下房子，所以不管买方是首套还是二套，都是1%，三套及以上的是3%；个税，满五唯一的是免个税的，不满足条件则1%,,,,,,,112418671267,楼层采光无遮挡，精装小三房，三朝南,,,
76,顺园二村 房子是全明格局 采光好 房子小区位置好,105万,8537,新北区薛家,顺园二村,3室2厅1厨2卫,中楼层 (共6层),123㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,暂无数据,无,暂无数据,2023-06-09,商品房,2016-06-05,普通住宅,满五年,共有,无抵押,已上传房本照片,房子是全明格局，采光好，房子小区位置好,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、满五年唯一免个税1%,,门 口 有47路公交车可到新北万达火车站，43路45路可以到市里,1、小区生活设施齐全，银行，交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,1、户型周正格 局分布合理，空间感好通透性强，居住舒适 2、楼层佳，朝向南北，视野开阔，采光透亮； 3、小区环境优美，绿化面积高，干净整洁，内有健身器材和娱乐广场，物业服务态度好； 4、小区地理位置优越，交通便捷，设施齐全，生活便利,,,,,,,,,,
77,新上）婚装 远离高架 三朝南 品牌家具家电 看房方便,130万,13830,新北区薛家,白马公馆,2室2厅1厨1卫,低楼层 (共34层),94㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,暂无数据,2022-10-18,商品房,2019-10-21,普通住宅,暂无数据,共有,有抵押,已上传房本照片,不靠高架 精装婚装，三朝南， 全屋品牌家具家电 拎包入住,1.90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,"小区楼下有共享单车车，47，528,1111，公交车，小区南边是龙城高架，往东南方向可到南大街，火车站，向西到奔牛机场，向北到常州高铁北站，和薛家沪蓉高速出入口，龙虎塘沪蓉高速出入口",白马公馆为绿洲置业又一品牌升级力作，位于飞龙版块地处新北区龙城大道以北，太湖西路与昆仑路交汇处。总建筑面积约34万方，由16栋高层、 会所及沿街组成。88-140㎡创梦空间，满足不同人群的共同梦想居所。,,,,,,,,,,,
78,怡枫苑 采光无影响 带一个院子有地暖 满五唯一 随时看,100万,12590,新北区薛家,怡枫苑,2室2厅1厨1卫,低楼层 (共30层),79.43㎡,平层,61.64㎡,板塔结合,南 北,钢混结构,简装,两梯四户,有,暂无数据,2023-02-10,商品房,2017-08-18,普通住宅,暂无数据,共有,有抵押 35万元 工商银行 业主自还,已上传房本照片,此房满五唯一 有院子 拎包可住 随时可看 业主诚售,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,小区电动车汽车都可出入，小区内路段宽敞，我们自己也经常骑车去小区溜达出行很方便，小区门口有共享单车，绿色出行，空闲时间和自己的好友约一场骑车运动也是蛮不错的。边上也有公交站台各个站点明确，方便老人出行，小朋友自主上学。,,,,,,发现生活的美 业主温馨两房 拎包可住 精致小院私密空间，论生活的美，您值得拥有,,,,,,
79,凤凰湖北苑（凤凰台）精装东边户无遮挡采光好,255万,19955,新北区薛家,雅居乐凤凰湖北苑,4室2厅1厨2卫,低楼层 (共18层),127.79㎡,平层,暂无数据,板塔结合,南,框架结构,简装,暂无数据,暂无数据,暂无数据,2023-04-14,商品房,2020-04-14,普通住宅,暂无数据,共有,有抵押,已上传房本照片,前无遮挡采光好、东边户、精装满2年,此房面积是127.79平米、契税首套房是1.5%、二套房是2%。三套房是3%、,紧靠小区公交有43路、300米就有医院、银行、购物广场、电影院。,,24小时安保、封闭管理、彩色散步道、紧靠社区人文广场、百米楼间距。,,,,,,,,,,,
80,年华里优质三室房源精装修 满五唯一  采光位置好诚售,180万,15149,新北区薛家,九龙仓年华里 ,3室2厅1厨2卫,高楼层 (共18层),118.82㎡,平层,96.76㎡,板楼,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-06-17,商品房,2015-06-23,普通住宅,暂无数据,非共有,有抵押 40万元 中国建设银行 业主自还,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,,,、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。舒适度高！,房子两个南向卧室，南向客厅，一个北向卧室   北向厨房和卫生间，通透性好适宜居住，采光好，前后楼间距也是至少60米以上，小区楼栋位置也真的很好，欢迎实地看房！,,业主自住，现在孩子小想要换了给孩子去别的小区换房，房子保持的好，装修成本在20多万。,,,,,,,,
81,怡枫苑绝世好房，业主自住装修，中间楼层，采光无遮挡,95万,10992,新北区薛家,怡枫苑,2室2厅1厨1卫,高楼层 (共18层),86.43㎡,平层,70.43㎡,板塔结合,南,钢混结构,精装,一梯两户,有,暂无数据,2021-11-15,商品房,2012-05-10,普通住宅,暂无数据,共有,无抵押,已上传房本照片,格局方正严谨，彰显大家风范；全明气派尊贵户型,存量房需要缴纳个人所得税1%。契税（看买方名下房屋套数决定费率）， 若买方此次购房为首套房且购买房屋为90㎡及以下，收取契税为：1%。90㎡以上契税收取：1.5%。 二套房90㎡及以下依旧收取：1%，若90㎡以上将收取2%。三套房不论面积大小契税均按照3%收取。,,,,,,亲和力爆棚的业主，诚心置换故此出售，夹杂五味杂陈的个人情感。忍痛挂牌，业主家庭和睦，等待有缘人接盘，我是贝壳找房德佑经纪人，房屋买卖交易问题可以随时致电垂询。竭诚为您服务。,发现生活温度，适合刚需、改善、婚房等需求，便拎包入住。即买即享受。 论一位经纪人的自我修养，此房源值得推荐。,,,,,,,
82,薛家精致小区精装修三房两厅满五唯一房主诚意售房,175万,14546,新北区薛家,九龙仓年华里 ,3室2厅1厨2卫,低楼层 (共18层),120.31㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,有,暂无数据,2023-10-05,商品房,2015-10-25,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.6%，满两年免增值税 4、满五年唯一免个税1%,小区地理位置优越，交通便捷，配套辐射广，设施齐全，生活便利，薛家公园,,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,房主自己住的房子，保持好因为要去别处工作所以诚意售房！！！！,,,,,,,,
83,怡景名园 精装大3房 中高楼层 诚心出售 随时看价可谈,149万,11936,新北区薛家,怡景名园,3室2厅1厨1卫,高楼层 (共9层),124.84㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2020-07-23,商品房,2009-10-26,普通住宅,暂无数据,共有,无抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适,"1、90平以内首套房契税1%，二套房1%，三套或以上3%
2、90平以上首套房契税1.5%，二套房2%，三套或以上3%",,,,"1、户型周正，格局分布合理，空间感好，通透性强，居住舒适；
2、楼层佳，朝向南北，视野开阔，采光透亮；",,业主诚意出售，手续齐全，产权清晰，价格公道，看房方便，随时恭候。,,,,,,,,
84,此房源好，成交快，欢迎大家来带看,110万,9467,新北区薛家,丽园社区顺园八村二期,3室2厅1厨2卫,高楼层 (共32层),116.2㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-09,商品房,2021-10-27,普通住宅,暂无数据,共有,有抵押,已上传房本照片,户型周正，格局分布合理，空间感好，通透性强，居住舒适；,90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,1、小区生活设施齐全，购物广场，菜市场、银行 交通便捷； 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻，欢迎随时电话咨询,,小区物业管理严格，服务到家让你生活放心 2. 小区人文素质高，是您居住的 3. 小区居住安静舒适，让您居住并享受品质生活中的 4. 小区绿树成荫鸟语花香让您随时呼吸到新鲜空气,,,,电梯房，未占用。业主考虑置换其他城市。小区人文素质高，付款方式不限。,,,,,,,
85,小区前排采光好，位置后，安静适合居住,86万,10486,新北区薛家,怡枫苑,2室2厅1厨1卫,低楼层 (共18层),82.02㎡,平层,67.11㎡,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,2012-04-20,普通住宅,暂无数据,非共有,无抵押,已上传房本照片,此房屋采光全天候，2房1大厅，户型方正，诚意出售。,1、90平以内首套房契税1%，二套房1%，三套或以上3% 2、90平以上首套房契税1.5%，二套房2%，三套或以上3% 3、不满两年增值税5.3%，满两年免增值税 4、满五年唯一免个税1%,,,小区介绍： 1、小区边生活设施齐全，、菜市场、银行、交通便捷 2、小区内有健身器材，小型篮球场，可供小区居民使用； 3、小区内停车位充足，建有地上停车场和地下车库； 4、小区内24小时保安巡逻。,,,业主处理房产置换 诚意出售，手续齐全，价格公道，看房方便，随时恭候,,,,,,,,
86,新城优活城，高层，新婚装，短住，干净整洁三房全明。,92万,12267,新北区薛家,新城•悠活城,3室2厅1厨1卫,高楼层 (共34层),75㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,一梯五户,有,暂无数据,2023-05-30,商品房,2020-11-13,普通住宅,暂无数据,非共有,有抵押 60万元,已上传房本照片,"1，小区是封闭式管理小区，配有大花园，环境优美，24小时的安保，儿童游乐设施，门口就有幼儿园，接娃方便。,
2，小区成熟，购物交通便利，上学近，步行就可到达
3，适合预算有限，需要多个房间，想给孩子一个较好小区环境的年轻家庭。",,房子为商品房，满2年 ，面积小于90平，首套房契税二套房的契税为1% 三套及以上为3%,,,"距离麦德龙大卖场仅1800米。龙城高架近在咫尺，出小区门口行驶一百米直接可以上高架了。距离高铁北站仅3000米，出行方便
小区门口自带中型生活市场",,,"户型方正，格局分布合理，空间感好，通透性强，居住舒适
2，楼层位置不影响采光，
3，1个卧室朝南，客厅带阳台显客厅宽敞
4，全屋主功能间都带有窗户，明厨明卫，更响亮。",,,112465513030,远离高架，新城优活城，高层，新婚装，短住，干净整洁三房全明。,,,
