,标题,总价格,单价,地段,小区名,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,楼层高度,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,核心卖点,户型介绍,售房详情,税费解析,周边配套,房源核验码,查询房管备案记录,小区介绍,适宜人群,权属抵押,装修描述,交通出行,别墅类型,用水类型,用电类型,燃气价格
667,金江苑三村二区5-2-1-2 110.93m² 75 万）,68万,6130,金坛区东城街道,金江苑三村二区,5室2厅1厨2卫,高楼层 (共5层),110.93㎡,复式,暂无数据,暂无数据,南,钢混结构,毛坯,暂无数据,暂无数据,暂无数据,2023-04-26,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","：
业主现诚心出售, 证件齐, 欢迎看房, 随时恭候, 如看中房子,可以跟房东商量","： 首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,,,,,,
668,房子楼层好 两房朝南 采光也好 家具家电齐全 拎包即住,125万,11161,金坛区东城街道,愚池湾,2室2厅1厨1卫,中楼层 (共33层),112㎡,平层,暂无数据,塔楼,南,混合结构,精装,两梯三户,有,暂无数据,2021-07-12,商品房,2023-11-08,普通住宅,未满两年,共有,无抵押,已上传房本照片,此房子地理位置好，生活，出行都是很方便的。,"格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",,"：
首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"：
此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
669,金碧园2-1-1-1 94.00m² 76.8 万,63万,6703,金坛区东城街道,金碧园,2室1厅1厨1卫,中楼层 (共5层),94㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-09-22,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫，户型设计合理","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。",契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上 2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5 年征1%,,,,,,,,,,,,
670,金坛区东城街道华达名都库上三楼,76.8万,7519,金坛区东城街道,华达名都,2室2厅1厨1卫,中楼层 (共5层),102.15㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2021-08-25,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好，交通便利","房子格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫",现业主诚心出售，证件齐全，看房需提起前预约，随时可签！价格可谈！,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,,,,,,,,,,,
671,满五唯一 带个八平方车库 看中价格可谈,69.8万,7862,金坛区东城街道,徐塘新村,2室2厅1厨1卫,中楼层 (共5层),88.79㎡,平层,暂无数据,板塔结合,南 北,框架结构,简装,暂无数据,暂无数据,暂无数据,2022-02-25,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5年成交价的1%。",,,,,,,,,,,,
672,华苑新村3-2-1-1 101.00m² 63.8 万,59.8万,5921,金坛区东城街道,华苑新村,3室2厅1厨1卫,中楼层 (共5层),101㎡,平层,暂无数据,板楼,南,框架结构,精装,暂无数据,无,暂无数据,2022-03-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房满五唯一，格局好,南北通风户型,全天采光,户型方正视野好",,"业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
673,华城广场顶楼复式143平+阳光房（不算面积）,98.8万,7052,金坛区东城街道,华城商业广场,4室2厅1厨2卫,高楼层 (共25层),140.11㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2020-07-01,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
674,华城新村中间楼层，83.00m²,49万,5904,金坛区东城街道,华城新村,2室2厅1厨1卫,中楼层 (共5层),83㎡,平层,暂无数据,板塔结合,南,框架结构,精装,暂无数据,无,暂无数据,2021-08-03,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","契税:A首套90平以下1%B首套90平以上1.5%C二套90平以下1%D二套90平以上
2%E三套都是3%增值税:满两年免征不满2年权额征收5.3%个人所得税:不满5
年征1%",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
675,金坛区 吾悦广场 东城街道 徐塘新村2楼 2楼,90万,9783,金坛区东城街道,徐塘新村,2室2厅1厨1卫,低楼层 (共6层),92㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,暂无数据,无,暂无数据,2021-11-28,商品房,暂无数据,普通住宅,暂无数据,非共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
676,wuy吾悦广场东简装修电梯2室,80万,10239,金坛区东城街道,新城东苑二区,2室1厅1厨1卫,高楼层 (共11层),78.14㎡,平层,暂无数据,板塔结合,南,框架结构,简装,两梯两户,有,暂无数据,2021-11-21,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90
平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值
税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5
年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
677,景潭花园，两室一卫，精装修，拎包入住,70万,7903,金坛区东城街道,景潭花园,2室2厅1厨1卫,中楼层 (共6层),88.58㎡,平层,暂无数据,暂无数据,南 北,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-10-09,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,户型方正，楼层好，采光好，出行方便，,,,契税：首套房90平以下 1%，90平以上 1.5%。二套房90平以下1%，90平以上2%。三套房不论面积统一3%。 增值税：满两年不论面积全免，不满两年收全额的5.6%。 个人所得税：满两年1%，满五年且唯一全免。,,,,物业管理规范，24小时安保，小区干净整洁，素质住户，有健身区和儿童游乐区。,人车分流，人文环境好，贷款方式不限，适合首付不多的小两口，配套齐全，有菜市场，公园,,,,,,,
678,华城商业广场，140平，三居室精装修。,83.8万,5986,金坛区东城街道,华城商业广场,3室2厅1厨3卫,高楼层 (共25层),140㎡,复式,暂无数据,板塔结合,南,钢混结构,精装,两梯四户,有,暂无数据,2021-12-20,商品房,暂无数据,普通住宅,暂无数据,共有,有抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,,,,,,,
679,金坛小香港  金江苑五区 婚房装修 两室两厅  拎包入住,83.8万,8380,金坛区东城街道,金江苑五区,2室2厅1厨1卫,中楼层 (共5层),100㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2022-09-06,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,金坛小香港，地理位置好，闹中取静。楼层好，全新装修,,,"首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",出行方便 小区门口菜场便利 小区门口有公交车 距离吾悦广场2公里,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同。",,,,,,
680,景潭花园二楼，好楼层，满五唯一，房东急卖,65.8万,7348,金坛区东城街道,景潭花园,2室2厅1厨1卫,低楼层 (共6层),89.55㎡,平层,暂无数据,暂无数据,南,钢混结构,精装,暂无数据,暂无数据,暂无数据,2023-05-30,商品房,2013-08-29,普通住宅,暂无数据,共有,无抵押,已上传房本照片,"房格局好,南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,价格可谈。","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,132455208385,"此房格局好,南北通风户型,全天采光,户型方正视野好",,,,,,,,,
681,新天地旁 电梯房 精装两室诚意出售,106.8万,11484,金坛区东城街道,滨河星城御湖豪庭,2室2厅1厨1卫,高楼层 (共6层),93㎡,平层,暂无数据,板塔结合,南,框架结构,精装,暂无数据,暂无数据,暂无数据,2023-08-24,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"位置好 南北通风户型,全天采光,户型方正视野好",,"业主人很友好、热情,很有诚意出售。欢迎看房,随时恭候户型棒，,看房方便","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%。",,,,,,"此房产权清晰,房源真实,业主诚心出售,看房方便,过户全程陪同",,,,,,
682,北戴庄3-2-1-1 98.40m² 58 万,58万,5895,金坛区东城街道,北戴庄,3室2厅1厨1卫,高楼层 (共5层),98.4㎡,平层,暂无数据,暂无数据,东南,砖混结构,简装,暂无数据,暂无数据,暂无数据,2023-08-07,商品房,暂无数据,普通住宅,暂无数据,共有,无抵押,未上传房本照片,"此房格局好,南北通风户型,全天采光,户型方正视野好","南北通风户型,全天采光,户型方正视野好,干湿分离,明厨明卫.","业主现诚心出售,证件齐,欢迎看房,随时恭候,如看中房子,随时签约","首套房90平米以下成交价的1%,90平米以上成交价的1.5%,二套房90 平以下1%,以上2%,三套房不论大小均为3%;增值税分析:产证满2年免收增值 税,未满2年征收5.3%;个税:产证满五年而且是唯套住房,免收个税,未满5 年成交价的1%",,,,,,,,,,,,
